Size,FullTime,EnqueueTime,WaitTime,BaseSize,PermIndex,Shift
[1,0]<stdout>:134217728,31.658361,0.018016,31.640650,1073741824,2,3
[1,0]<stdout>:134217728,56.208050,0.018186,56.189864,1073741824,3,3
[1,0]<stdout>:1073741824,99.623027,0.018505,99.604638,2147483648,1,1
[1,0]<stdout>:536870912,50.594237,0.020938,50.576236,2147483648,1,2
[1,0]<stdout>:268435456,25.079982,0.018013,25.062068,2147483648,1,3
[1,0]<stdout>:536870912,148.322108,0.018696,148.303904,2147483648,2,2
[1,0]<stdout>:268435456,57.100505,0.018918,57.082746,2147483648,2,3
[1,0]<stdout>:268435456,109.162088,0.018568,109.144145,2147483648,3,3
[1,0]<stdout>:2147483647,199.166300,0.018844,199.148192,4294967295,1,1
[1,0]<stdout>:1073741823,102.789374,0.018789,102.771794,4294967295,1,2
[1,0]<stdout>:536870911,51.942139,0.021235,51.925114,4294967295,1,3
[1,0]<stdout>:1073741823,331.483219,0.018840,331.464710,4294967295,2,2
[1,0]<stdout>:536870911,142.486945,0.018795,142.469370,4294967295,2,3
[1,0]<stdout>:536870911,217.219707,0.022936,217.201302,4294967295,3,3
